Species,1,2,3,4,5, 
Ring-necked Pheasant,1,1,1,0,0,Breeder
Mourning Dove,0,1,1,0,0,Breeder
Alder Flycatcher,1,0,1,0,0,Breeder
Eastern Phoebe,0,0,0,1,0,Breeder
Red-eyed Vireo,0,0,0,0,1,Breeder
American Crow,2,2,4,3,5,Breeder
Black-capped Chickadee,0,1,0,1,1,Breeder
Tree Swallow,0,2,0,0,0,Breeder
Cedar Waxwing,0,0,0,0,5,Breeder
Red-breasted Nuthatch,0,0,0,1,0,Breeder
Winter Wren,0,0,1,0,0,Breeder
European Starling,3,1,0,0,0,Breeder
Swainson's Thrush,0,0,0,0,1,Breeder
Hermit Thrush,0,0,0,0,1,Breeder
American Robin,4,3,0,1,0,Breeder
American Goldfinch,0,0,0,2,0,Breeder
Savannah Sparrow,0,1,0,0,0,Breeder
Song Sparrow,6,2,2,2,0,Breeder
Common Grackle,1,0,0,0,0,Breeder
Common Yellowthroat,0,0,2,0,0,Breeder
American Redstart,0,2,1,0,1,Breeder
Blackburnian Warbler,0,0,0,0,2,Breeder
Chestnut-sided Warbler,0,0,0,0,1,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,0,0,1,Breeder
Number of Vehicles,0,0,1,2,2
Excessive Noise,,,,,
Species,6,7,8,9,10, 
Canada Goose,0,2,1,4,0,Breeder
Mallard,0,14,2,0,1,Breeder
Ring-necked Pheasant,1,0,1,0,1,Breeder
Mourning Dove,1,0,0,0,0,Breeder
Bald Eagle,0,0,1,0,0,Breeder
Alder Flycatcher,1,0,1,1,1,Breeder
Red-eyed Vireo,0,0,1,0,0,Breeder
American Crow,10,2,0,0,4,Breeder
Common Raven,0,0,0,0,1,Breeder
Black-capped Chickadee,2,0,0,1,2,Breeder
Tree Swallow,1,3,0,0,0,Breeder
Cedar Waxwing,0,0,0,1,0,Breeder
American Robin,0,1,0,0,0,Breeder
Chipping Sparrow,0,1,0,1,0,Breeder
White-throated Sparrow,0,0,1,0,0,Breeder
Savannah Sparrow,0,1,0,0,1,Breeder
Song Sparrow,2,1,2,1,1,Breeder
Swamp Sparrow,0,0,0,1,0,Breeder
Bobolink,0,1,1,1,0,Breeder
Red-winged Blackbird,0,0,0,5,0,Breeder
Common Grackle,1,0,0,1,0,Breeder
Common Yellowthroat,1,0,0,1,0,Breeder
Number of Vehicles,2,1,0,1,0
Excessive Noise,,,,,
Species,11,12,13,14,15, 
Ring-necked Pheasant,1,1,0,1,0,Breeder
Mourning Dove,1,0,0,0,0,Breeder
American Herring Gull,0,0,0,1,0,Breeder
(Yellow-shafted Flicker) Northern Flicker,0,0,1,0,0,Breeder
Alder Flycatcher,1,1,1,1,1,Breeder
Red-eyed Vireo,0,0,0,0,1,Breeder
Blue Jay,0,0,0,1,0,Breeder
American Crow,2,1,4,4,2,Breeder
Black-capped Chickadee,0,0,1,1,0,Breeder
Cedar Waxwing,0,0,0,1,1,Breeder
European Starling,0,0,4,0,0,Breeder
American Robin,1,0,0,0,1,Breeder
American Goldfinch,0,2,0,0,1,Breeder
Chipping Sparrow,0,1,0,0,0,Breeder
Nelson's Sparrow,0,1,0,0,0,Breeder
Savannah Sparrow,0,1,0,0,0,Breeder
Song Sparrow,1,0,3,2,1,Breeder
Bobolink,2,2,0,0,0,Breeder
Common Grackle,0,1,0,0,0,Breeder
Ovenbird,0,0,0,0,1,Breeder
Nashville Warbler,0,0,1,0,0,Breeder
Common Yellowthroat,0,0,0,1,1,Breeder
Northern Parula,0,0,0,0,1,Breeder
Yellow Warbler,1,1,0,2,0,Breeder
Chestnut-sided Warbler,0,0,0,0,1,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,0,1,0,Breeder
Number of Vehicles,2,0,2,1,1
Excessive Noise,,,,,
Species,16,17,18,19,20, 
Canada Goose,0,7,2,0,0,Breeder
Gadwall,0,0,0,1,0,Breeder
Ring-necked Duck,0,0,1,0,0,Breeder
Ring-necked Pheasant,2,0,1,0,0,Breeder
Pied-billed Grebe,0,0,1,0,0,Breeder
Mourning Dove,0,0,1,0,0,Breeder
Ruby-throated Hummingbird,0,0,0,1,2,Breeder
Belted Kingfisher,0,0,0,0,1,Breeder
Alder Flycatcher,0,2,0,1,1,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,0,0,0,1,0,Breeder
Blue Jay,0,0,0,0,3,Breeder
American Crow,1,0,0,4,2,Breeder
Black-capped Chickadee,0,1,0,0,0,Breeder
Tree Swallow,0,1,0,0,1,Breeder
Golden-crowned Kinglet,0,0,0,0,1,Breeder
Cedar Waxwing,0,0,0,0,9,Breeder
European Starling,0,0,0,6,0,Breeder
Veery,0,1,0,1,0,Breeder
Hermit Thrush,1,0,0,0,0,Breeder
American Robin,2,0,0,0,0,Breeder
American Goldfinch,0,1,0,0,0,Breeder
White-throated Sparrow,1,0,0,0,0,Breeder
Song Sparrow,2,2,3,2,0,Breeder
Red-winged Blackbird,0,0,3,0,0,Breeder
Common Grackle,0,1,0,0,0,Breeder
Ovenbird,1,0,0,0,0,Breeder
Common Yellowthroat,1,0,1,0,1,Breeder
Northern Parula,2,1,0,0,1,Breeder
Yellow Warbler,0,0,0,1,0,Breeder
Chestnut-sided Warbler,0,0,1,0,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,1,0,0,0,0,Breeder
Number of Vehicles,0,4,0,1,0
Excessive Noise,,,,,
Species,21,22,23,24,25, 
Mourning Dove,0,0,0,0,1,Breeder
Alder Flycatcher,0,0,0,2,0,Breeder
Philadelphia Vireo,0,0,1,0,0,Breeder
Red-eyed Vireo,0,0,1,0,0,Breeder
Blue Jay,3,0,0,0,0,Breeder
American Crow,2,0,0,0,0,Breeder
Black-capped Chickadee,0,0,1,0,4,Breeder
Red-breasted Nuthatch,0,0,0,0,1,Breeder
Swainson's Thrush,0,1,0,0,2,Breeder
Hermit Thrush,0,0,1,0,0,Breeder
Purple Finch,0,0,0,0,1,Breeder
American Goldfinch,2,0,0,1,0,Breeder
White-throated Sparrow,0,0,0,2,1,Breeder
Red-winged Blackbird,2,0,0,0,0,Breeder
Ovenbird,0,2,0,0,2,Breeder
Black-and-white Warbler,1,0,0,0,0,Breeder
Nashville Warbler,0,0,0,2,0,Breeder
Common Yellowthroat,0,0,1,1,0,Breeder
American Redstart,1,1,0,0,1,Breeder
Northern Parula,0,1,0,0,1,Breeder
Chestnut-sided Warbler,0,0,0,0,1,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,0,1,0,Breeder
Black-throated Green Warbler,0,0,1,0,0,Breeder
Number of Vehicles,1,0,0,1,0
Excessive Noise,,,,,
Species,26,27,28,29,30, 
Ring-necked Pheasant,1,0,0,1,0,Breeder
Osprey,0,0,0,2,0,Breeder
Alder Flycatcher,0,0,0,0,2,Breeder
Philadelphia Vireo,0,1,0,0,0,Breeder
Red-eyed Vireo,0,0,0,2,1,Breeder
American Crow,0,0,2,3,2,Breeder
Common Raven,0,0,2,0,0,Breeder
Black-capped Chickadee,0,3,0,0,0,Breeder
Red-breasted Nuthatch,0,0,2,0,0,Breeder
Swainson's Thrush,1,1,0,0,1,Breeder
(Slate-colored Junco) Dark-eyed Junco,0,0,1,0,0,Breeder
Song Sparrow,0,0,0,2,4,Breeder
Bobolink,0,0,0,2,0,Breeder
Red-winged Blackbird,0,0,0,0,1,Breeder
Ovenbird,1,0,1,0,0,Breeder
American Redstart,0,1,0,0,0,Breeder
Northern Parula,0,2,0,0,0,Breeder
Bay-breasted Warbler,0,0,1,0,0,Breeder
Blackburnian Warbler,2,0,0,0,0,Breeder
Yellow Warbler,0,0,0,3,1,Breeder
Chestnut-sided Warbler,1,1,0,0,0,Breeder
Black-throated Blue Warbler,0,0,1,0,0,Breeder
Black-throated Green Warbler,2,0,0,0,0,Breeder
Number of Vehicles,1,2,1,0,1
Excessive Noise,,,,,
Species,31,32,33,34,35, 
Mallard,0,0,0,0,10,Breeder
