Species,1,2,3,4,5
Canada Goose,0,0,0,4,3,Breeder
Ring-necked Pheasant,2,0,0,0,0,Breeder
American Herring Gull,0,0,0,0,6,Breeder
Alder Flycatcher,1,0,1,0,0,Breeder
American Crow,4,3,1,2,0,Breeder
Common Raven,0,0,0,1,0,Breeder
Black-capped Chickadee,3,2,1,0,2,Breeder
Tree Swallow,0,0,0,2,1,Breeder
Red-breasted Nuthatch,0,0,0,1,0,Breeder
Brown Creeper,0,0,0,0,2,Breeder
European Starling,2,5,0,2,0,Breeder
American Robin,3,4,1,1,0,Breeder
White-throated Sparrow,0,0,0,1,1,Breeder
Song Sparrow,2,3,1,0,0,Breeder
Red-winged Blackbird,0,0,1,0,0,Breeder
Common Grackle,0,1,0,0,0,Breeder
Black-and-white Warbler,0,0,0,0,1,Breeder
Northern Parula,0,0,2,1,1,Breeder
Yellow Warbler,1,0,0,0,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,1,0,1,0,Breeder
Number of Vehicles,0,0,0,0,1
Excessive Noise
Species,6,7,8,9,10
Canada Goose,1,0,2,3,1,Breeder
Blue-winged Teal,0,0,0,1,0,Breeder
Mallard,0,0,13,0,0,Breeder
Ring-necked Pheasant,1,0,1,1,1,Breeder
Mourning Dove,1,0,0,1,0,Breeder
Sora,0,0,1,0,0,Breeder
Osprey,0,0,0,2,0,Breeder
Alder Flycatcher,2,0,1,1,3,Breeder
American Crow,6,2,0,1,6,Breeder
Tree Swallow,2,6,1,0,0,Breeder
American Robin,1,0,0,0,0,Breeder
Nelson's Sparrow,0,0,1,0,0,Breeder
Savannah Sparrow,0,1,0,0,0,Breeder
Song Sparrow,1,1,0,1,1,Breeder
Bobolink,1,0,3,0,0,Breeder
Red-winged Blackbird,0,0,0,6,2,Breeder
Common Yellowthroat,1,0,0,0,0,Breeder
Yellow Warbler,1,0,0,0,1,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,0,1,0,Breeder
Number of Vehicles,0,4,2,0,0
Excessive Noise
Species,11,12,13,14,15
Canada Goose,1,1,2,0,1,Breeder
Ring-necked Pheasant,1,1,0,1,0,Breeder
Mourning Dove,1,0,0,0,0,Breeder
Northern Harrier,0,1,0,0,0,Breeder
Alder Flycatcher,3,3,0,1,0,Breeder
Red-eyed Vireo,0,0,1,0,0,Breeder
Blue Jay,0,0,0,3,0,Breeder
American Crow,3,4,4,2,2,Breeder
European Starling,0,4,6,1,0,Breeder
Veery,0,0,0,1,1,Breeder
American Robin,0,1,0,1,0,Breeder
American Goldfinch,0,0,0,1,0,Breeder
Chipping Sparrow,1,0,0,0,0,Breeder
Savannah Sparrow,0,1,2,0,0,Breeder
