Species	1	2	3	4	5
Canada Goose	0	0	0	1	2	Breeder
Downy Woodpecker	0	0	0	1	0	Breeder
Blue-headed Vireo	0	0	0	0	1	Breeder
American Crow	1	2	1	0	1	Breeder
Black-capped Chickadee	1	1	0	2	2	Breeder
Tree Swallow	0	0	1	2	0	Breeder
Red-breasted Nuthatch	0	0	1	0	1	Breeder
Swainson's Thrush	0	0	1	0	0	Breeder
American Robin	2	2	3	2	0	Breeder
American Goldfinch	1	0	0	0	0	Breeder
White-throated Sparrow	1	0	0	1	1	Breeder
Song Sparrow	2	2	1	1	0	Breeder
Common Yellowthroat	0	1	0	0	1	Breeder
American Redstart	0	0	0	0	1	Breeder
Northern Parula	0	0	2	0	0	Breeder
Yellow Warbler	1	0	0	0	0	Breeder
(Myrtle Warbler) Yellow-rumped Warbler	0	0	0	1	1	Breeder
Number of Vehicles	0	0	0	1	3
Excessive Noise
Species	6	7	8	9	10
Canada Goose	22	4	8	5	2	Breeder
Mallard	0	0	20	0	0	Breeder
American Black Duck	0	0	4	4	0	Breeder
Ring-necked Pheasant	0	1	2	1	0	Breeder
Mourning Dove	0	1	1	0	0	Breeder
Rock Pigeon	0	0	0	0	6	Breeder
Ruby-throated Hummingbird	0	1	0	0	0	Breeder
Osprey	0	0	0	1	0	Breeder
Northern Harrier	0	0	1	0	0	Breeder
Bald Eagle	0	0	0	2	0	Breeder
Alder Flycatcher	0	0	0	1	0	Breeder
American Crow	2	1	1	1	0	Breeder
Tree Swallow	0	2	1	0	0	Breeder
Cedar Waxwing	0	0	0	2	0	Breeder
European Starling	4	2	0	0	0	Breeder
American Robin	1	0	0	0	0	Breeder
Nelson's Sparrow	0	0	0	0	1	Breeder
Savannah Sparrow	1	0	0	0	2	Breeder
Song Sparrow	0	0	0	1	1	Breeder
Swamp Sparrow	0	0	0	1	0	Breeder
Bobolink	1	2	0	1	3	Breeder
Red-winged Blackbird	0	0	6	5	0	Breeder
Common Grackle	0	0	2	0	0	Breeder
American Redstart	1	1	0	0	0	Breeder
Yellow Warbler	0	0	1	2	0	Breeder
Number of Vehicles	2	1	1	4	1
Excessive Noise
Species	11	12	13	14	15
Canada Goose	1	0	0	0	0	Breeder
Ring-necked Pheasant	0	1	1	1	0	Breeder
Mourning Dove	0	0	0	2	0	Breeder
Rock Pigeon	0	2	0	0	0	Breeder
Sora	0	1	0	0	0	Breeder
Alder Flycatcher	1	2	0	0	1	Breeder
Red-eyed Vireo	0	0	0	1	1	Breeder
Blue Jay	0	0	0	1	0	Breeder
Common Raven	0	0	2	0	0	Breeder
Tree Swallow	0	0	25	0	0	Breeder
Cedar Waxwing	0	0	0	4	0	Breeder
Gray Catbird	1	0	0	0	0	Breeder
European Starling	0	0	1	1	0	Breeder
