Species,1,2,3,4,5, 
American Black Duck,,1,,,,Breeder
Ring-necked Pheasant,1,,,1,,Breeder
Mourning Dove,,,,1,1,Breeder
Downy Woodpecker,1,,,,,Breeder
Alder Flycatcher,1,,,,,Breeder
Red-eyed Vireo,,,,,1,Breeder
American Crow,3,2,2,4,,Breeder
Black-capped Chickadee,,2,2,4,,Breeder
Tree Swallow,,,,2,,Breeder
Golden-crowned Kinglet,,,,,2,Breeder
Hermit Thrush,,,1,,,Breeder
American Robin,3,2,,2,2,Breeder
American Goldfinch,4,,,,,Breeder
(Slate-colored Junco) Dark-eyed Junco,,,,1,,Breeder
White-throated Sparrow,1,,,,,Breeder
Song Sparrow,2,2,,1,2,Breeder
Common Grackle,,,,1,,Breeder
Ovenbird,,,1,,,Breeder
Black-and-white Warbler,,,1,,,Breeder
American Redstart,,,,1,,Breeder
Northern Parula,,,,,1,Breeder
Yellow Warbler,2,1,,,,Breeder
Brown Creeper,,,1,,,Breeder
House Finch,,,1,,,Breeder
Black-throated Blue Warbler,,,1,,,Breeder
Wilson's Warbler,,,,,1,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,6,7,8,9,10, 
Canada Goose,,1,,,,Breeder
Gadwall,,,,1,,Breeder
Ring-necked Pheasant,,,,1,,Breeder
Pied-billed Grebe,,,,1,,Breeder
Mourning Dove,,,,1,1,Breeder
Sora,,,,1,,Breeder
Great Blue Heron,,,,2,,Breeder
Alder Flycatcher,1,1,,1,2,Breeder
American Crow,2,3,5,,3,Breeder
Tree Swallow,,4,,,,Breeder
Cedar Waxwing,,,,2,,Breeder
Gray Catbird,,1,,,,Breeder
European Starling,1,5,1,,1,Breeder
American Robin,1,,2,,,Breeder
Purple Finch,1,,,,,Breeder
American Goldfinch,,,,,4,Breeder
Savannah Sparrow,,1,,,,Breeder
Song Sparrow,1,1,1,,1,Breeder
Swamp Sparrow,,,,1,2,Breeder
Red-winged Blackbird,,,,10,,Breeder
Common Grackle,1,,1,,,Breeder
Common Yellowthroat,,,1,,1,Breeder
Northern Parula,1,,,,,Breeder
Yellow Warbler,1,,2,2,,Breeder
Number of Vehicles,1,0,1,0,0
Excessive Noise,,,,,
Species,11,12,13,14,15, 
Blue-winged Teal,,,2,,,Breeder
