Stops,Latitude,Longitude
 1,45.8206843,-64.2303173
 2,45.8167362,-64.2395414
 3,45.8115853,-64.2458161
 4,45.8051430,-64.2501102
 5,45.7995233,-64.2578581
 6,45.7949041,-64.2638057
 7,45.7887794,-64.2694007
 8,45.7850964,-64.2645104
 9,45.7812381,-64.2561975
 10,45.7746129,-64.2490652
 11,45.7723370,-64.2427364
 12,45.7648864,-64.2412175
 13,45.7575634,-64.2402014
 14,45.7509190,-64.2420343
 15,45.7441417,-64.2467263
 16,45.7366943,-64.2485868
 17,45.7306583,-64.2510985
 18,45.7260200,-64.2543356
 19,45.7234293,-64.2619894
 20,45.7190881,-64.2740461
 21,45.7166317,-64.2802193
 22,45.7163812,-64.2871343
 23,45.7148046,-64.2988491
 24,45.7143416,-64.3075327
 25,45.7154687,-64.3168662
 26,45.7164695,-64.3309124
 27,45.7174070,-64.3399548
 28,45.7169644,-64.3501923
 29,45.7162371,-64.3583850
 30,45.7087764,-64.3582904
 31,45.7014748,-64.3592071
 32,45.6945402,-64.3644471
 33,45.6905415,-64.3720120
 34,45.6926302,-64.3779159
 35,45.6980231,-64.3764606
 36,45.7010445,-64.3835236
 37,45.6939203,-64.3851881
 38,45.6913175,-64.3916241
 39,45.6907773,-64.4023902
 40,45.6908066,-64.4113898
 41,45.6890304,-64.4224339
 42,45.6849419,-64.4295057
 43,45.6868935,-64.4357165
 44,45.6917100,-64.4444697
 45,45.6866453,-64.4509045
 46,45.6802012,-64.4543188
 47,45.6781133,-64.4639500
 48,45.6730692,-64.4691839
 49,45.6721102,-64.4811867
 50,45.6665295,-64.4834353
