Species,1,2,3,4,5, 
Mourning Dove,1,2,2,1,,Breeder
Ruby-throated Hummingbird,,,,1,,Breeder
Yellow-bellied Sapsucker,2,1,1,,,Breeder
Alder Flycatcher,,1,,,,Breeder
Blue-headed Vireo,,,,,1,Breeder
Blue Jay,,,1,,,Breeder
American Crow,,,,1,,Breeder
Black-capped Chickadee,,,,3,,Breeder
Cedar Waxwing,,,2,,,Breeder
Red-breasted Nuthatch,1,,,,,Breeder
Winter Wren,,1,1,,1,Breeder
Gray Catbird,,,,1,,Breeder
Veery,1,,,,,Breeder
Swainson's Thrush,1,,,,,Breeder
Hermit Thrush,,1,,,,Breeder
American Robin,,1,2,,3,Breeder
Chipping Sparrow,,,,,1,Breeder
(Slate-colored Junco) Dark-eyed Junco,1,,,1,1,Breeder
White-throated Sparrow,2,,1,,1,Breeder
Song Sparrow,,,,2,,Breeder
Ovenbird,2,1,2,2,,Breeder
Black-and-white Warbler,,2,,,,Breeder
Nashville Warbler,,,,1,,Breeder
Northern Parula,,,,,1,Breeder
Bay-breasted Warbler,,,,1,,Breeder
Blackburnian Warbler,,,,,1,Breeder
Chestnut-sided Warbler,,,,1,,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,,,,,1,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,6,7,8,9,10, 
Yellow-bellied Sapsucker,1,1,,,1,Breeder
Downy Woodpecker,,,1,,,Breeder
Hairy Woodpecker,,,1,,,Breeder
Alder Flycatcher,,,,,2,Breeder
Red-eyed Vireo,1,,,,,Breeder
Blue Jay,,,,1,,Breeder
Winter Wren,,,,1,1,Breeder
Hermit Thrush,,,,,1,Breeder
American Robin,2,2,,2,2,Breeder
(Slate-colored Junco) Dark-eyed Junco,,1,,,,Breeder
White-throated Sparrow,,1,,,2,Breeder
Song Sparrow,,,,1,,Breeder
Ovenbird,1,,3,1,1,Breeder
Black-and-white Warbler,,1,,,,Breeder
Common Yellowthroat,,1,,,1,Breeder
Magnolia Warbler,,,,1,,Breeder
Blackburnian Warbler,,1,,,1,Breeder
Chestnut-sided Warbler,,1,,,,Breeder
Black-throated Green Warbler,2,1,,,,Breeder
Philadelphia Vireo,,,1,,,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,11,12,13,14,15, 
Yellow-bellied Sapsucker,1,,,,,Breeder
Pileated Woodpecker,,,1,1,,Breeder
Alder Flycatcher,,,1,1,1,Breeder
American Crow,1,2,,,,Breeder
Black-capped Chickadee,,1,,,,Breeder
Ruby-crowned Kinglet,,,,1,,Breeder
Winter Wren,1,1,,2,1,Breeder
